Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Learning Rate
1,0.197534,0.914476,0.095181,0.961778,0.0001
2,0.088076,0.966952,0.037565,0.985778,0.0001
3,0.064118,0.975619,0.067118,0.974667,0.0001
4,0.040543,0.986857,0.038081,0.987111,0.0001
5,0.038570,0.985810,0.014790,0.996444,0.0001
6,0.030574,0.989333,0.004302,0.998667,0.0001
7,0.027024,0.990381,0.007166,0.996444,0.0001
8,0.022098,0.991333,0.002976,0.999111,0.0001
9,0.019756,0.992762,0.005223,0.997778,0.0001
10,0.024412,0.992190,0.012511,0.995556,0.0001
11,0.016905,0.994381,0.004472,0.999111,0.0001
12,0.008836,0.997048,0.003119,0.998222,5e-05
13,0.008226,0.996762,0.002890,0.999111,5e-05
